;SIN_YEAR;SIN_WEEK;FIRST_DAY;CASES;IMPORTED
0;2000;1;2000-01-02;0;0
1;2000;2;2000-01-09;0;0
2;2000;3;2000-01-16;0;0
3;2000;4;2000-01-23;0;0
4;2000;5;2000-01-30;0;0
5;2000;6;2000-02-06;0;0
6;2000;7;2000-02-13;0;0
7;2000;8;2000-02-20;0;0
8;2000;9;2000-02-27;0;0
9;2000;10;2000-03-05;0;0
10;2000;11;2000-03-12;0;0
11;2000;12;2000-03-19;0;0
12;2000;13;2000-03-26;0;0
13;2000;14;2000-04-02;0;0
14;2000;15;2000-04-09;0;0
15;2000;16;2000-04-16;0;0
16;2000;17;2000-04-23;0;0
17;2000;18;2000-04-30;0;0
18;2000;19;2000-05-07;0;0
19;2000;20;2000-05-14;0;0
20;2000;21;2000-05-21;0;0
21;2000;22;2000-05-28;0;0
22;2000;23;2000-06-04;0;0
23;2000;24;2000-06-11;0;0
24;2000;25;2000-06-18;0;0
25;2000;26;2000-06-25;0;0
26;2000;27;2000-07-02;0;0
27;2000;28;2000-07-09;0;0
28;2000;29;2000-07-16;0;0
29;2000;30;2000-07-23;0;0
30;2000;31;2000-07-30;0;0
31;2000;32;2000-08-06;0;0
32;2000;33;2000-08-13;0;0
33;2000;34;2000-08-20;0;0
34;2000;35;2000-08-27;0;0
35;2000;36;2000-09-03;0;0
36;2000;37;2000-09-10;0;0
37;2000;38;2000-09-17;0;0
38;2000;39;2000-09-24;0;0
39;2000;40;2000-10-01;0;0
40;2000;41;2000-10-08;0;0
41;2000;42;2000-10-15;0;0
42;2000;43;2000-10-22;0;0
43;2000;44;2000-10-29;0;0
44;2000;45;2000-11-05;1;0
45;2000;46;2000-11-12;0;0
46;2000;47;2000-11-19;0;0
47;2000;48;2000-11-26;0;0
48;2000;49;2000-12-03;0;0
49;2000;50;2000-12-10;0;0
50;2000;51;2000-12-17;0;0
51;2000;52;2000-12-24;0;0
52;2001;1;2001-01-07;0;0
53;2001;2;2001-01-14;0;0
54;2001;3;2001-01-21;0;0
55;2001;4;2001-01-28;0;0
56;2001;5;2001-02-04;0;0
57;2001;6;2001-02-11;0;0
58;2001;7;2001-02-18;0;0
59;2001;8;2001-02-25;0;0
60;2001;9;2001-03-04;0;0
61;2001;10;2001-03-11;0;0
62;2001;11;2001-03-18;0;0
63;2001;12;2001-03-25;0;0
64;2001;13;2001-04-01;1;0
65;2001;14;2001-04-08;0;0
66;2001;15;2001-04-15;1;0
67;2001;16;2001-04-22;1;0
68;2001;17;2001-04-29;1;0
69;2001;18;2001-05-06;1;0
70;2001;19;2001-05-13;0;0
71;2001;20;2001-05-20;0;0
72;2001;21;2001-05-27;0;0
73;2001;22;2001-06-03;0;0
74;2001;23;2001-06-10;0;0
75;2001;24;2001-06-17;0;0
76;2001;25;2001-06-24;1;0
77;2001;26;2001-07-01;0;0
78;2001;27;2001-07-08;0;0
79;2001;28;2001-07-15;0;0
80;2001;29;2001-07-22;0;0
81;2001;30;2001-07-29;0;0
82;2001;31;2001-08-05;0;0
83;2001;32;2001-08-12;1;0
84;2001;33;2001-08-19;0;0
85;2001;34;2001-08-26;0;0
86;2001;35;2001-09-02;0;0
87;2001;36;2001-09-09;0;0
88;2001;37;2001-09-16;0;0
89;2001;38;2001-09-23;0;0
90;2001;39;2001-09-30;0;0
91;2001;40;2001-10-07;0;0
92;2001;41;2001-10-14;0;0
93;2001;42;2001-10-21;0;0
94;2001;43;2001-10-28;0;0
95;2001;44;2001-11-04;0;0
96;2001;45;2001-11-11;0;0
97;2001;46;2001-11-18;0;0
98;2001;47;2001-11-25;0;0
99;2001;48;2001-12-02;0;0
100;2001;49;2001-12-09;0;0
101;2001;50;2001-12-16;0;0
102;2001;51;2001-12-23;0;0
103;2001;52;2001-12-30;0;0
104;2002;1;2002-01-06;0;0
105;2002;2;2002-01-13;0;0
106;2002;3;2002-01-20;0;0
107;2002;4;2002-01-27;0;0
108;2002;5;2002-02-03;0;0
109;2002;6;2002-02-10;0;0
110;2002;7;2002-02-17;0;0
111;2002;8;2002-02-24;0;0
112;2002;9;2002-03-03;0;0
113;2002;10;2002-03-10;0;0
114;2002;11;2002-03-17;0;0
115;2002;12;2002-03-24;0;0
116;2002;13;2002-03-31;0;0
117;2002;14;2002-04-07;0;0
118;2002;15;2002-04-14;0;0
119;2002;16;2002-04-21;0;0
120;2002;17;2002-04-28;0;0
121;2002;18;2002-05-05;0;0
122;2002;19;2002-05-12;0;0
123;2002;20;2002-05-19;0;0
124;2002;21;2002-05-26;0;0
125;2002;22;2002-06-02;0;0
126;2002;23;2002-06-09;0;0
127;2002;24;2002-06-16;0;0
128;2002;25;2002-06-23;0;0
129;2002;26;2002-06-30;0;0
130;2002;27;2002-07-07;0;0
131;2002;28;2002-07-14;0;0
132;2002;29;2002-07-21;0;0
133;2002;30;2002-07-28;0;0
134;2002;31;2002-08-04;0;0
135;2002;32;2002-08-11;0;0
136;2002;33;2002-08-18;0;0
137;2002;34;2002-08-25;0;0
138;2002;35;2002-09-01;0;0
139;2002;36;2002-09-08;0;0
140;2002;37;2002-09-15;0;0
141;2002;38;2002-09-22;0;0
142;2002;39;2002-09-29;0;0
143;2002;40;2002-10-06;0;0
144;2002;41;2002-10-13;0;0
145;2002;42;2002-10-20;0;0
146;2002;43;2002-10-27;0;0
147;2002;44;2002-11-03;0;0
148;2002;45;2002-11-10;0;0
149;2002;46;2002-11-17;0;0
150;2002;47;2002-11-24;0;0
151;2002;48;2002-12-01;0;0
152;2002;49;2002-12-08;0;0
153;2002;50;2002-12-15;0;0
154;2002;51;2002-12-22;0;0
155;2002;52;2002-12-29;0;0
156;2003;1;2003-01-05;0;0
157;2003;2;2003-01-12;0;0
158;2003;3;2003-01-19;0;0
159;2003;4;2003-01-26;0;0
160;2003;5;2003-02-02;0;0
161;2003;6;2003-02-09;0;0
162;2003;7;2003-02-16;0;0
163;2003;8;2003-02-23;0;0
164;2003;9;2003-03-02;0;0
165;2003;10;2003-03-09;0;0
166;2003;11;2003-03-16;0;0
167;2003;12;2003-03-23;0;0
168;2003;13;2003-03-30;0;0
169;2003;14;2003-04-06;0;0
170;2003;15;2003-04-13;0;0
171;2003;16;2003-04-20;0;0
172;2003;17;2003-04-27;1;0
173;2003;18;2003-05-04;0;0
174;2003;19;2003-05-11;0;0
175;2003;20;2003-05-18;0;0
176;2003;21;2003-05-25;0;0
177;2003;22;2003-06-01;0;0
178;2003;23;2003-06-08;0;0
179;2003;24;2003-06-15;0;0
180;2003;25;2003-06-22;0;0
181;2003;26;2003-06-29;0;0
182;2003;27;2003-07-06;0;0
183;2003;28;2003-07-13;0;0
184;2003;29;2003-07-20;0;0
185;2003;30;2003-07-27;0;0
186;2003;31;2003-08-03;0;0
187;2003;32;2003-08-10;0;0
188;2003;33;2003-08-17;0;0
189;2003;34;2003-08-24;0;0
190;2003;35;2003-08-31;0;0
191;2003;36;2003-09-07;0;0
192;2003;37;2003-09-14;0;0
193;2003;38;2003-09-21;0;0
194;2003;39;2003-09-28;0;0
195;2003;40;2003-10-05;1;0
196;2003;41;2003-10-12;0;0
197;2003;42;2003-10-19;0;0
198;2003;43;2003-10-26;0;0
199;2003;44;2003-11-02;0;0
200;2003;45;2003-11-09;1;0
201;2003;46;2003-11-16;0;0
202;2003;47;2003-11-23;0;0
203;2003;48;2003-11-30;0;0
204;2003;49;2003-12-07;0;0
205;2003;50;2003-12-14;0;0
206;2003;51;2003-12-21;0;0
207;2003;52;2003-12-28;0;0
208;2004;1;2004-01-04;0;0
209;2004;2;2004-01-11;0;0
210;2004;3;2004-01-18;0;0
211;2004;4;2004-01-25;0;0
212;2004;5;2004-02-01;0;0
213;2004;6;2004-02-08;0;0
214;2004;7;2004-02-15;0;0
215;2004;8;2004-02-22;0;0
216;2004;9;2004-02-29;0;0
217;2004;10;2004-03-07;0;0
218;2004;11;2004-03-14;0;0
219;2004;12;2004-03-21;0;0
220;2004;13;2004-03-28;0;0
221;2004;14;2004-04-04;0;0
222;2004;15;2004-04-11;0;0
223;2004;16;2004-04-18;1;0
224;2004;17;2004-04-25;0;0
225;2004;18;2004-05-02;0;0
226;2004;19;2004-05-09;0;0
227;2004;20;2004-05-16;0;0
228;2004;21;2004-05-23;1;0
229;2004;22;2004-05-30;0;0
230;2004;23;2004-06-06;0;0
231;2004;24;2004-06-13;0;0
232;2004;25;2004-06-20;0;0
233;2004;26;2004-06-27;0;0
234;2004;27;2004-07-04;0;0
235;2004;28;2004-07-11;0;0
236;2004;29;2004-07-18;0;0
237;2004;30;2004-07-25;0;0
238;2004;31;2004-08-01;0;0
239;2004;32;2004-08-08;0;0
240;2004;33;2004-08-15;0;0
