,WEEK_PRI,YEAR_PRI,1,2,3,4,NONE,TOTAL,OCURENCE_1,OCURENCE_2,OCURENCE_3,OCURENCE_4
860,1,2000,0.0,0.0,0.0,0.0,13.0,13.0,0,0,0,0
861,1,2001,0.0,0.0,0.0,0.0,17.0,17.0,0,0,0,0
862,1,2002,0.0,0.0,0.0,0.0,46.0,46.0,0,0,0,0
863,1,2003,0.0,0.0,0.0,0.0,22.0,22.0,0,0,0,0
864,1,2004,0.0,0.0,0.0,0.0,13.0,13.0,0,0,0,0
865,1,2005,0.0,0.0,0.0,0.0,8.0,8.0,0,0,0,0
866,1,2006,0.0,0.0,0.0,0.0,7.0,7.0,0,0,0,0
0,1,2007,0.0,0.0,0.0,0.0,24.0,24.0,0,0,0,0
1,1,2008,0.0,1.0,0.0,0.0,29.0,30.0,0,1,0,0
2,1,2009,0.0,0.0,0.0,0.0,19.0,19.0,0,0,0,0
3,1,2010,2.0,0.0,0.0,0.0,37.0,39.0,1,0,0,0
4,1,2011,0.0,0.0,0.0,0.0,41.0,41.0,0,0,0,0
5,1,2012,0.0,0.0,0.0,0.0,32.0,32.0,0,0,0,0
6,1,2013,0.0,0.0,0.0,0.0,65.0,65.0,0,0,0,0
7,1,2014,0.0,0.0,0.0,0.0,15.0,15.0,0,0,0,0
8,1,2015,0.0,0.0,0.0,0.0,145.0,145.0,0,0,0,0
9,1,2016,0.0,0.0,0.0,0.0,32.0,32.0,0,0,0,0
10,1,2017,0.0,0.0,0.0,0.0,3.0,3.0,0,0,0,0
11,1,2018,0.0,0.0,0.0,0.0,15.0,15.0,0,0,0,0
12,1,2019,0.0,1.0,0.0,0.0,32.0,33.0,0,1,0,0
13,1,2020,1.0,1.0,0.0,0.0,64.0,66.0,1,1,0,0
14,1,2021,0.0,0.0,0.0,0.0,15.0,15.0,0,0,0,0
15,1,2022,1.0,0.0,0.0,0.0,53.0,54.0,1,0,0,0
16,1,2023,2.0,0.0,0.0,0.0,125.0,127.0,1,0,0,0
867,2,2000,0.0,0.0,0.0,0.0,12.0,12.0,0,0,0,0
868,2,2001,0.0,0.0,0.0,0.0,15.0,15.0,0,0,0,0
869,2,2002,0.0,0.0,0.0,0.0,61.0,61.0,0,0,0,0
870,2,2003,0.0,0.0,0.0,0.0,34.0,34.0,0,0,0,0
871,2,2004,0.0,0.0,0.0,0.0,5.0,5.0,0,0,0,0
872,2,2005,0.0,0.0,0.0,0.0,9.0,9.0,0,0,0,0
873,2,2006,0.0,0.0,0.0,0.0,11.0,11.0,0,0,0,0
17,2,2007,0.0,0.0,1.0,0.0,25.0,26.0,0,0,1,0
18,2,2008,0.0,0.0,0.0,0.0,18.0,18.0,0,0,0,0
19,2,2009,0.0,0.0,0.0,0.0,11.0,11.0,0,0,0,0
20,2,2010,1.0,0.0,0.0,0.0,37.0,38.0,1,0,0,0
21,2,2011,0.0,0.0,0.0,0.0,52.0,52.0,0,0,0,0
22,2,2012,0.0,0.0,0.0,0.0,50.0,50.0,0,0,0,0
23,2,2013,1.0,0.0,0.0,1.0,72.0,74.0,1,0,0,1
24,2,2014,0.0,0.0,0.0,0.0,29.0,29.0,0,0,0,0
25,2,2015,1.0,0.0,0.0,0.0,157.0,158.0,1,0,0,0
26,2,2016,0.0,0.0,0.0,0.0,9.0,9.0,0,0,0,0
27,2,2017,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0
28,2,2018,0.0,0.0,0.0,0.0,23.0,23.0,0,0,0,0
29,2,2019,1.0,2.0,0.0,0.0,37.0,40.0,1,1,0,0
